game_date,player_name,away_team,home_team,p_throws,Outs,Pitches,PA,Runs,Hits,K,BB,HBP,HR,FB,GB,Strikes,Balls,BIP,Whiffs,CS,CSW,xBA,wOBA,xwOBA,throws_ff,throws_si,throws_fc,throws_sl,throws_st,throws_cu,throws_ch,ff_velo,ff_spinrate,ff_ivb,ff_hb,ff_vaa,si_velo,si_spinrate,si_ivb,si_hb,si_vaa,fc_velo,fc_spinrate,fc_ivb,fc_hb,fc_vaa,sl_velo,sl_spinrate,sl_ivb,sl_hb,sl_vaa,st_velo,st_spinrate,st_ivb,st_hb,st_vaa,cu_velo,cu_spinrate,cu_ivb,cu_hb,cu_vaa,ch_velo,ch_spinrate,ch_ivb,ch_hb,ch_vaa,ff_usage_vR,si_usage_vR,fc_usage_vR,sl_usage_vR,st_usage_vR,cu_usage_vR,ch_usage_vR,ff_usage_vL,si_usage_vL,fc_usage_vL,sl_usage_vL,st_usage_vL,cu_usage_vL,ch_usage_vL
2023-03-30T00:00:00.000000,Aaron Nola,PHI,TEX,R,11,72,17,10,4,4,2,0,1,2,4,37,24,11,5,14,19,0.39936363636363637,0.37941176470588234,0.358282705882353,1,1,1,0,0,0,1,92.365625,2367.90625,15.9225,-11.94375,-4.482993581363098,92.575,2251.0,9.3,-17.4,-5.527205281468661,87.04285714285713,2206.285714285714,6.805714285714286,1.7314285714285715,-7.212637352305144,,,,,,,,,,,,,,,,85.42222222222222,1577.7777777777778,8.986666666666666,-15.040000000000001,-7.031837202068995,0.46153846153846156,0.07692307692307693,0.2692307692307692,0.0,0.0,0.0,0.038461538461538464,0.43478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.17391304347826086
2023-03-30T00:00:00.000000,Alek Manoah,TOR,STL,R,10,86,21,7,9,3,2,0,2,4,7,38,32,16,12,14,26,0.4338125,0.5571428571428572,0.4388479047619048,1,1,0,1,0,0,1,94.16571428571429,2394.657142857143,15.908571428571427,-4.755428571428571,-5.14124489006665,94.0304347826087,2296.695652173913,11.180869565217392,-13.528695652173914,-5.475396026675426,,,,,,81.565,2258.9,0.2339999999999999,14.868,-9.018129416700548,,,,,,,,,,,87.02857142857144,2082.1428571428573,6.205714285714286,-15.994285714285713,-8.06054823833737,0.3902439024390244,0.3170731707317073,0.0,0.2926829268292683,0.0,0.0,0.0,0.4318181818181818,0.22727272727272727,0.0,0.18181818181818182,0.0,0.0,0.1590909090909091
2023-03-30T00:00:00.000000,Blake Snell,COL,SD,L,13,93,21,3,6,9,1,0,0,1,4,45,37,11,19,10,29,0.39581818181818185,0.3666666666666667,0.23532871428571428,1,0,0,1,0,1,1,94.92923076923077,2391.4,20.302153846153846,5.667692307692307,-5.369922398737505,,,,,,,,,,,89.225,2324.125,11.49,-2.13,-9.365208058854629,,,,,,81.74545454545455,2378.090909090909,-10.145454545454545,-13.843636363636364,-12.87578966746659,87.23333333333333,1769.4444444444443,11.746666666666666,13.506666666666668,-8.203634625595273,0.6349206349206349,0.0,0.0,0.06349206349206349,0.0,0.15873015873015872,0.14285714285714285,0.8333333333333334,0.0,0.0,0.13333333333333333,0.0,0.03333333333333333,0.0
2023-03-30T00:00:00.000000,Corbin Burnes,MIL,CHC,R,15,87,23,4,4,3,3,1,0,3,11,39,32,16,7,14,21,0.23625000000000002,0.3173913043478261,0.3021614782608696,0,1,1,1,0,1,1,,,,,,95.28333333333335,2585.1666666666665,13.459999999999999,-11.459999999999999,-5.900877552829708,94.04666666666668,2678.3555555555554,12.221333333333334,3.3253333333333335,-6.314723688266467,87.33571428571429,2824.285714285714,-0.3257142857142858,6.8999999999999995,-8.973709425043609,,,,,,80.61,2776.7,-7.5,11.016,-10.594777134805318,88.28333333333335,2110.3333333333335,6.140000000000001,-14.56,-7.495300168507687,0.0,0.14634146341463414,0.3902439024390244,0.34146341463414637,0.0,0.0975609756097561,0.024390243902439025,0.0,0.0,0.6304347826086957,0.0,0.0,0.13043478260869565,0.2391304347826087
2023-03-30T00:00:00.000000,Corey Kluber,BAL,BOS,R,9,80,19,4,6,4,4,0,2,3,2,37,32,11,6,11,17,0.526090909090909,0.5842105263157894,0.5154006315789473,1,1,1,0,0,1,1,87.66666666666667,2314.6666666666665,12.44,-17.76,-5.340917319607169,87.42592592592592,2100.1875,9.04888888888889,-17.44,-6.109193828540071,85.075,2501.9411764705883,10.158,2.6399999999999997,-5.832405934455206,,,,,,,,,,,79.79047619047618,2544.5,5.445714285714286,12.617142857142856,-7.908717372790144,81.96666666666667,1724.5,6.053333333333333,-17.333333333333332,-8.402485618607466,0.0,0.25,0.32142857142857145,0.0,0.0,0.39285714285714285,0.03571428571428571,0.057692307692307696,0.38461538461538464,0.21153846153846154,0.0,0.0,0.19230769230769232,0.15384615384615385
2023-03-30T00:00:00.000000,Dylan Cease,CWS,HOU,R,19,86,22,0,2,10,0,1,0,4,5,51,24,11,14,16,30,0.2952727272727273,0.11363636363636363,0.2090456818181818,1,0,0,1,0,0,0,97.15555555555555,2629.296296296296,19.10222222222222,-2.3911111111111114,-4.853260504270924,,,,,,,,,,,86.91351351351352,2946.810810810811,1.105945945945946,3.8983783783783785,-9.38839951731913,,,,,,,,,,,,,,,,0.27941176470588236,0.0,0.0,0.4411764705882353,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.3888888888888889,0.0,0.0,0.0
2023-03-30T00:00:00.000000,Eduardo Rodriguez,DET,TB,L,16,88,21,1,3,5,2,0,1,4,3,40,34,14,8,16,24,0.2869285714285715,0.24761904761904763,0.3108002857142857,1,1,1,1,0,0,1,92.55806451612904,2267.2903225806454,17.62451612903226,7.428387096774194,-4.902935266308374,93.05,2256.5,11.96,15.200000000000001,-6.217367556711185,88.32799999999999,2231.64,10.6608,-0.9695999999999999,-6.408972959332391,84.26666666666667,2176.3333333333335,1.8399999999999999,-1.2000000000000002,-8.881051027562952,,,,,,,,,,,86.9608695652174,1992.8260869565217,6.036521739130435,19.001739130434782,-8.417565983046549,0.31645569620253167,0.06329113924050633,0.3037974683544304,0.02531645569620253,0.0,0.0,0.2911392405063291,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
2023-03-30T00:00:00.000000,Framber Valdez,CWS,HOU,L,15,85,22,0,6,4,0,1,0,0,12,39,29,17,9,17,26,0.3306875,0.2931818181818182,0.27661928571428573,0,1,0,1,0,1,1,,,,,,95.21304347826087,2177.8478260869565,7.00695652173913,15.850434782608696,-7.026167570375704,,,,,,81.4,2523.2,-5.016,-4.656000000000001,-8.720608235953218,,,,,,78.8125,2833.6666666666665,-16.5,-10.935,-12.728819969116378,89.74,1704.6,3.6,17.028,-8.374917676540317,0.0,0.5384615384615384,0.0,0.02564102564102564,0.0,0.3076923076923077,0.1282051282051282,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.0
2023-03-30T00:00:00.000000,German Marquez,COL,SD,R,18,87,24,6,5,5,0,0,0,4,8,40,30,17,10,16,26,0.31582352941176467,0.32708333333333334,0.2716818181818182,1,1,0,1,0,0,0,96.22333333333333,2142.0666666666666,16.012,-9.424000000000001,-5.235596692661089,95.89500000000001,2064.05,11.597999999999999,-17.003999999999998,-6.77289144859765,,,,,,88.7695652173913,2405.391304347826,6.031304347826087,-0.9026086956521739,-7.954357507574438,,,,,,,,,,,,,,,,0.21428571428571427,0.2619047619047619,0.0,0.35714285714285715,0.0,0.0,0.0,0.4666666666666667,0.2,0.0,0.17777777777777778,0.0,0.0,0.0
2023-03-30T00:00:00.000000,Gerrit Cole,SF,NYY,R,18,95,22,3,3,11,2,0,0,1,5,47,39,9,17,12,29,0.40244444444444444,0.18636363636363634,0.21540027272727275,1,0,0,1,0,0,1,97.01967213114754,2445.590163934426,17.893770491803277,-11.392131147540983,-4.382592371192347,,,,,,,,,,,88.2375,2535.0,1.95,5.2875000000000005,-8.449981655649811,,,,,,,,,,,88.77857142857144,1646.7857142857142,9.719999999999999,-16.44857142857143,-7.288325885818253,0.6296296296296297,0.0,0.0,0.37037037037037035,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.08823529411764706,0.0,0.0,0.20588235294117646
