game_date,player_name,away_team,home_team,p_throws,Outs,Pitches,PA,Runs,Hits,K,BB,HBP,HR,FB,GB,Strikes,Balls,BIP,Whiffs,CS,CSW,xBA,wOBA,xwOBA,throws_ff,throws_si,throws_fc,throws_sl,throws_st,throws_cu,throws_ch,ff_velo,ff_spinrate,ff_ivb,ff_hb,ff_vaa,si_velo,si_spinrate,si_ivb,si_hb,si_vaa,fc_velo,fc_spinrate,fc_ivb,fc_hb,fc_vaa,sl_velo,sl_spinrate,sl_ivb,sl_hb,sl_vaa,st_velo,st_spinrate,st_ivb,st_hb,st_vaa,cu_velo,cu_spinrate,cu_ivb,cu_hb,cu_vaa,ch_velo,ch_spinrate,ch_ivb,ch_hb,ch_vaa,ff_usage_vR,si_usage_vR,fc_usage_vR,sl_usage_vR,st_usage_vR,cu_usage_vR,ch_usage_vR,ff_usage_vL,si_usage_vL,fc_usage_vL,sl_usage_vL,st_usage_vL,cu_usage_vL,ch_usage_vL,k_rate,ff_power_angle,ch_effectiveness,ff_ch_velo_diff,ff_sl_velo_diff,ff_si_velo_diff,ff_ch_ivb_diff,ff_sl_ivb_diff,ff_ch_vaa_diff,ch_platoon_split,sl_platoon_split,xBA_clipped,xwOBA_clipped,k_rate_P5,Whiffs_P5,CSW_P5,CS_P5,GB_P5,BB_P5,Strikes_P5,Balls_P5,BIP_P5,xBA_clipped_P5,xwOBA_clipped_P5,k_rate_P10,Whiffs_P10,CSW_P10,CS_P10,GB_P10,BB_P10,Strikes_P10,Balls_P10,BIP_P10,xBA_clipped_P10,xwOBA_clipped_P10,k_rate_P20,Whiffs_P20,CSW_P20,CS_P20,GB_P20,BB_P20,Strikes_P20,Balls_P20,BIP_P20,xBA_clipped_P20,xwOBA_clipped_P20,CSW_P20_shrunk,BB_P20_shrunk
2024-03-29,A.J. Puk,PIT,MIA,L,4,68,14,4,3,1,6,0,0,2,2,26,35,7,5,13,18,0.3791428571428571,0.5178571428571429,0.4724132857142857,1,1,0,1,1,0,1,93.015,2190.4,14.37,6.840000000000001,-4.691819064184044,92.68333333333334,2060.277777777778,9.46,14.76,-5.555035615398933,0.0,0.0,0.0,0.0,0.0,84.83333333333333,2130.3333333333335,0.6400000000000001,-6.32,-7.355480850952901,80.73913043478261,2288.1739130434785,2.52,-13.492173913043478,-9.041160258783293,0.0,0.0,0.0,0.0,0.0,85.2,1036.25,4.77,6.9,-7.146457489467776,0.30303030303030304,0.24242424242424243,0.0,0.045454545454545456,0.3484848484848485,0.0,0.06060606060606061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,436.40955025507884,7.146457489467776,7.814999999999998,8.181666666666672,0.33166666666666345,9.6,13.729999999999999,2.4546384252837328,-0.06060606060606061,-0.045454545454545456,0.3791428571428571,0.4724132857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-25,Aaron Civale,MIL,CLE,R,17,94,25,5,6,5,2,0,0,6,5,42,34,18,10,20,30,0.36833333333333335,0.3,0.31795224,1,1,1,1,0,1,0,92.65333333333334,2373.8,17.272,-5.04,-5.299874324284952,93.12941176470588,2255.294117647059,11.668235294117649,-13.348235294117648,-5.905032437742238,89.6391304347826,2563.3478260869565,7.820869565217391,3.6260869565217395,-6.784292745791242,84.39999999999999,2818.0714285714284,4.405714285714286,8.691428571428572,-8.844087833006414,0.0,0.0,0.0,0.0,0.0,79.41199999999999,2996.28,-14.8368,10.459200000000001,-12.019060839253289,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.19298245614035087,0.10526315789473684,0.24561403508771928,0.0,0.24561403508771928,0.0,0.08108108108108109,0.16216216216216217,0.4594594594594595,0.0,0.0,0.2972972972972973,0.0,0.2,491.0510223927484,0.0,0.0,8.253333333333345,-0.47607843137254235,0.0,12.866285714285713,0.0,0.0,-0.24561403508771928,0.36833333333333335,0.31795224,0.21598113641591904,9.0,27.0,18.0,6.2,2.4,45.0,34.0,16.0,0.3483206349206349,0.3305829845088567,0.20172341078138178,8.333333333333334,26.166666666666668,17.833333333333332,7.166666666666667,2.1666666666666665,43.5,32.5,16.5,0.3229855291005291,0.30803584216317764,0.20172341078138178,8.333333333333334,26.166666666666668,17.833333333333332,7.166666666666667,2.1666666666666665,43.5,32.5,16.5,0.3229855291005291,0.30803584216317764,24.907515328874023,1.9273341694537347
2024-06-29,Aaron Civale,WSH,TB,R,17,102,25,3,6,2,4,0,1,5,8,39,44,19,5,16,21,0.3373684210526316,0.386,0.38934096,1,1,1,0,1,1,1,92.7,2447.0,20.28,-5.76,-5.112024234927581,92.54799999999999,2237.8,13.833599999999999,-14.8272,-6.044402614902634,87.97,2636.0666666666666,8.044,4.62,-7.213599499254135,0.0,0.0,0.0,0.0,0.0,79.4608695652174,3039.913043478261,-1.565217391304348,19.142608695652175,-9.807911900668676,76.1590909090909,3180.909090909091,-19.35272727272727,14.105454545454545,-13.994113118807446,84.4,1964.0,8.399999999999999,-16.68,-7.896180915167682,0.017857142857142856,0.30357142857142855,0.23214285714285715,0.0,0.30357142857142855,0.14285714285714285,0.0,0.0,0.17391304347826086,0.3695652173913043,0.0,0.13043478260869565,0.30434782608695654,0.021739130434782608,0.08,473.8846465777868,7.896180915167682,8.299999999999997,0.0,0.15200000000001523,11.880000000000003,0.0,2.784156680240101,0.021739130434782608,0.0,0.3373684210526316,0.38934096,0.22608695652173916,9.4,24.6,15.2,4.0,1.2,38.6,31.6,15.2,0.3305853166570272,0.3059448492270531,0.2238530020703934,8.0,22.9,14.9,4.5,1.4,37.9,30.1,14.9,0.3483319149542408,0.3278174091373361,0.25107243932637663,8.05,23.4,15.35,4.65,1.45,38.45,29.45,14.1,0.3301290555118256,0.31155613942161875,23.302848662207353,1.5618341694537345
2025-07-12,Aaron Civale,PIT,MIL,R,19,101,28,1,6,6,2,0,0,3,9,50,31,20,8,21,29,0.36465000000000003,0.28750000000000003,0.3152593571428572,1,1,1,0,1,1,1,91.65,2378.5,17.58,-4.38,-3.903876296356205,92.30000000000001,2244.346153846154,11.88923076923077,-13.458461538461538,-6.188097456199578,88.15625,2563.28125,7.64625,2.5575,-7.152281891093367,0.0,0.0,0.0,0.0,0.0,80.00869565217391,2966.2608695652175,-1.6956521739130435,15.667826086956522,-9.73874986184204,76.8125,3084.4375,-16.575,11.685,-12.575838329487956,85.8,2077.0,7.5600000000000005,-13.919999999999998,-7.657516744372185,0.02702702702702703,0.35135135135135137,0.2702702702702703,0.0,0.21621621621621623,0.13513513513513514,0.0,0.015873015873015872,0.20634920634920634,0.3492063492063492,0.0,0.23809523809523808,0.1746031746031746,0.015873015873015872,0.21428571428571427,357.7902625610462,7.657516744372185,5.8500000000000085,0.0,-0.6500000000000057,10.019999999999998,0.0,3.7536404480159806,0.015873015873015872,0.0,0.36465000000000003,0.3152593571428572,0.21889855072463765,8.6,24.8,16.2,5.2,2.2,38.6,33.4,14.8,0.3092429607673029,0.3177542944879227,0.22282608695652173,7.7,23.3,15.6,5.2,1.8,39.8,32.5,15.1,0.31960494753569446,0.3141163421352657,0.2232075935336805,7.75,24.2,16.45,5.2,1.7,39.8,31.85,15.3,0.3215809834399347,0.3109501330314219,23.766848662207355,1.6893341694537347
2023-07-23,Aaron Nola,PHI,CLE,R,21,85,27,6,6,7,0,0,2,6,9,42,23,20,13,12,25,0.36439999999999995,0.3222222222222222,0.2785769230769231,1,1,1,0,0,0,1,93.53714285714287,2338.057142857143,14.97942857142857,-11.256,-4.227215669407784,92.5625,2272.5,9.045,-16.35,-5.1352992133155615,88.05000000000001,2368.0,6.180000000000001,-1.8599999999999999,-6.410381191260173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.39166666666667,1635.4545454545455,6.77,-13.090000000000002,-6.481099321201023,0.2857142857142857,0.2857142857142857,0.09523809523809523,0.0,0.0,0.0,0.0,0.453125,0.03125,0.0,0.0,0.0,0.0,0.1875,0.25925925925925924,395.4016759573487,6.481099321201023,7.145476190476202,0.0,0.974642857142868,8.209428571428571,0.0,2.253883651793239,0.1875,0.0,0.36439999999999995,0.2785769230769231,0.2521447900758246,11.6,28.6,17.0,9.4,1.2,51.6,29.6,17.8,0.31756817226890754,0.29485344491935267,0.27740572837124555,14.1,31.2,17.1,7.9,1.7,52.0,32.3,17.0,0.3201971580298786,0.2958323787639091,0.24523449216248405,11.7,29.5,17.8,7.45,1.5,48.45,31.75,17.6,0.31853708244784634,0.2978295337494429,26.840848662207357,1.5873341694537346
2024-07-30,Aaron Nola,NYY,PHI,R,17,95,27,6,7,4,3,0,1,7,7,36,39,20,6,20,26,0.35605000000000003,0.37777777777777777,0.37931085185185187,1,1,1,0,0,0,1,93.41923076923078,2376.1923076923076,14.459999999999999,-12.821538461538463,-4.522888578276386,92.66842105263159,2273.157894736842,8.854736842105263,-17.19157894736842,-5.618686766691254,88.48571428571428,2323.0,8.348571428571429,-0.8228571428571428,-6.021978101412188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.38333333333334,1597.4444444444443,4.193333333333333,-15.786666666666665,-6.907856472257303,0.2647058823529412,0.3235294117647059,0.029411764705882353,0.0,0.0,0.0,0.08823529411764706,0.2786885245901639,0.13114754098360656,0.09836065573770492,0.0,0.0,0.0,0.2459016393442623,0.14814814814814814,422.5247718375198,6.907856472257303,7.035897435897439,0.0,0.7508097165991927,10.266666666666666,0.0,2.3849678939809174,0.1576663452266152,0.0,0.35605000000000003,0.37931085185185187,0.29374936657545353,13.0,28.2,15.2,7.4,1.2,47.8,32.8,15.8,0.2987355040221217,0.26921160003378264,0.25265911624607273,11.1,26.9,15.8,7.8,1.1,46.7,31.4,16.6,0.3079558879759731,0.2798561766450458,0.24288328537189305,10.5,26.65,16.15,7.65,1.5,47.0,32.4,17.15,0.31312512287549055,0.2878735338967665,25.187848662207358,1.5873341694537346
2025-07-31,Aaron Nola,NYY,PHI,R,17,95,27,6,7,4,3,0,1,7,7,36,39,20,6,20,26,0.35605000000000003,0.37777777777777777,0.37931085185185187,1,1,1,0,0,0,1,93.41923076923078,2376.1923076923076,14.459999999999999,-12.821538461538463,-4.522888578276386,92.66842105263159,2273.157894736842,8.854736842105263,-17.19157894736842,-5.618686766691254,88.48571428571428,2323.0,8.348571428571429,-0.8228571428571428,-6.021978101412188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.38333333333334,1597.4444444444443,4.193333333333333,-15.786666666666665,-6.907856472257303,0.2647058823529412,0.3235294117647059,0.029411764705882353,0.0,0.0,0.0,0.08823529411764706,0.2786885245901639,0.13114754098360656,0.09836065573770492,0.0,0.0,0.0,0.2459016393442623,0.14814814814814814,422.5247718375198,6.907856472257303,7.035897435897439,0.0,0.7508097165991927,10.266666666666666,0.0,2.3849678939809174,0.1576663452266152,0.0,0.35605000000000003,0.37931085185185187,0.29374936657545353,13.0,28.2,15.2,7.4,1.2,47.8,32.8,15.8,0.2987355040221217,0.26921160003378264,0.25265911624607273,11.1,26.9,15.8,7.8,1.1,46.7,31.4,16.6,0.3079558879759731,0.27985617664504575,0.24288328537189302,10.5,26.65,16.15,7.65,1.5,47.0,32.4,17.15,0.3131251228754905,0.2878735338967665,25.187848662207358,1.5873341694537346
2024-09-15,Adam Oller,MIA,WSH,R,14,76,21,4,6,2,2,0,1,4,9,29,30,17,4,14,18,0.27541176470588236,0.39285714285714285,0.3397267619047619,1,1,0,0,0,1,1,93.75,2201.53125,16.2975,-10.83,-4.71355885968622,92.96666666666665,2074.3333333333335,12.200000000000001,-12.959999999999999,-5.396235710439735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.475,2251.5,-14.370000000000001,5.565,-10.725823736719565,87.62857142857142,1645.4285714285713,7.491428571428571,-14.005714285714287,-7.433846822091021,0.43333333333333335,0.1,0.0,0.0,0.0,0.0,0.0,0.4222222222222222,0.0,0.0,0.0,0.0,0.17777777777777778,0.15555555555555556,0.09523809523809523,441.8961430955831,7.433846822091021,6.121428571428581,0.0,0.7833333333333456,8.806071428571428,0.0,2.720287962404801,0.15555555555555556,0.0,0.27541176470588236,0.3397267619047619,0.2097556935817805,7.6,22.0,14.4,5.6,3.2,37.6,37.2,14.8,0.3154242222222222,0.34639413434782607,0.19440425445540532,7.166666666666667,20.5,13.333333333333334,5.333333333333333,2.8333333333333335,37.833333333333336,35.833333333333336,14.5,0.34082321548821554,0.3688816036231884,0.19440425445540532,7.166666666666667,20.5,13.333333333333334,5.333333333333333,2.8333333333333335,37.833333333333336,35.833333333333336,14.5,0.34082321548821554,0.3688816036231884,21.620848662207358,2.2673341694537346
2023-05-13,Adrian Houser,KC,MIL,R,12,88,21,5,8,2,1,0,1,4,7,41,29,18,5,20,25,0.3557222222222222,0.4785714285714286,0.3918049047619047,1,1,0,1,0,1,1,94.55652173913045,2217.681818181818,15.490434782608695,-9.511304347826087,-5.447344266087363,93.10571428571428,2089.5714285714284,7.254857142857143,-16.92685714285714,-6.563230398630614,0.0,0.0,0.0,0.0,0.0,83.29285714285713,2354.5714285714284,3.222857142857143,8.631428571428572,-8.307745138575694,0.0,0.0,0.0,0.0,0.0,81.275,1996.0,-11.67,8.49,-10.499658103462494,84.98333333333333,1459.5833333333333,4.88,-13.06,-7.779494397379088,0.125,0.6,0.0,0.25,0.0,0.025,0.0,0.375,0.22916666666666666,0.0,0.08333333333333333,0.0,0.0625,0.25,0.09523809523809523,515.0819265168174,7.779494397379088,9.573188405797111,11.263664596273316,1.4508074534161608,10.610434782608696,12.267577639751552,2.3321501312917254,0.25,-0.16666666666666669,0.3557222222222222,0.3918049047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-22,Adrian Houser,NYM,CLE,R,15,72,23,9,6,4,1,1,1,5,6,32,23,17,9,10,19,0.32741176470588235,0.4043478260869566,0.3339705652173913,1,1,0,1,0,1,1,95.48571428571428,2304.1428571428573,15.959999999999999,-10.44,-5.300760769544588,94.06,2135.9142857142856,7.724571428571429,-16.505142857142857,-6.408068676998421,0.0,0.0,0.0,0.0,0.0,84.95333333333333,2231.266666666667,0.9440000000000001,4.064,-8.414602877471852,0.0,0.0,0.0,0.0,0.0,79.75,1997.0,-12.0,6.0600000000000005,-8.787359683429258,85.15384615384616,1567.3076923076924,5.132307692307692,-14.455384615384617,-7.677592152673049,0.0,0.7368421052631579,0.0,0.21052631578947367,0.0,0.0,0.05263157894736842,0.1320754716981132,0.39622641509433965,0.0,0.20754716981132076,0.0,0.03773584905660377,0.22641509433962265,0.17391304347826086,506.1469283376575,7.677592152673049,10.33186813186812,10.532380952380947,1.4257142857142782,10.827692307692306,15.015999999999998,2.3768313831284607,0.17378351539225423,-0.0029791459781529084,0.32741176470588235,0.3339705652173913,0.1116231884057971,6.4,20.6,14.2,7.6,3.4,36.0,35.4,17.0,0.3218203619909502,0.38754741852700925,0.11827536231884057,6.5,20.2,13.7,6.9,3.1,34.3,32.2,16.8,0.32618362637362636,0.38310126909222664,0.1637463768115942,6.45,21.3,14.85,7.05,2.45,34.4,30.45,15.6,0.31844816860590386,0.34685260396706197,22.084848662207357,2.0718341694537346
