"",BatterTeam,RoadTeam,HomeTeam,SP,p_throws,Pitches,AB,PA,Outs,Hits,HR,BB,K,xBA,xwOBA,wOBA,RunExp,RA,FIP,xFIP,K%,BB%,K-BB%,Pitches5,Outs5,Outs10,xBA5,xBA10,xwOBA5,xwOBA10,wOBA5,wOBA10,RA5,RA10,FIP5,FIP10,xFIP5,xFIP10,K%5,K%10,BB%5,BB%10,K-BB%5,K-BB%10,Ball%5,Strike%5,CS%5,CS%10,Whiff%5,Whiff%10,CSW%5,CSW%10,bxBA5,bxBA10,bxwOBA5,bxwOBA10,bwOBA5,bwOBA10,bRS5,bRS10,bFIP5,bFIP10,bxFIP5,bxFIP10,bK%5,bK%10,bBB%5,bBB%10,bK-BB%5,bK-BB%10,bBall%5,bStrike%5,bCS%5,bCS%10,bWhiff%5,bWhiff%10,bCSW%5,bCSW%10
0,ATL,CIN,ATL,Tyler Mahle,R,84,20,18,15,3,0,2,7,0.195700,0.300224,0.205000,-0.028863,1,1.537000,2.319260,35.00,10.00,25.00,84.0,15.0,15.0,0.195700,0.195700,0.300224,0.300224,0.205000,0.205000,1.800000,1.800000,1.537000,1.537000,2.319260,2.319260,35.00,35.00,10.00,10.00,25.00,25.00,39.29,46.43,19.05,19.05,15.48,15.48,34.52,34.52,0.194333,0.194333,0.191667,0.191667,0.000000,0.000000,0.000000,0.000000,-0.863000,-0.863000,-0.863000,-0.863000,66.67,66.67,0.00,0.00,66.67,66.67,20.00,73.33,13.33,13.33,40.00,40.00,53.33,53.33
1,AZ,SD,AZ,Yu Darvish,R,92,22,17,18,0,0,4,3,0.068500,0.208817,0.127273,-0.040531,0,4.137000,5.658062,13.64,18.18,-4.54,92.0,18.0,18.0,0.068500,0.068500,0.208817,0.208817,0.127273,0.127273,0.000000,0.000000,4.137000,4.137000,5.658062,5.658062,13.64,13.64,18.18,18.18,-4.54,-4.54,44.57,39.13,17.39,17.39,10.87,10.87,28.26,28.26,0.169121,0.169121,0.323719,0.323719,0.248485,0.248485,3.375000,3.375000,3.887000,3.887000,2.913884,2.913884,33.33,33.33,15.15,15.15,18.18,18.18,41.26,46.15,16.78,16.78,15.38,15.38,32.17,32.17
2,CHC,MIL,CHC,Corbin Burnes,R,83,22,16,15,4,1,3,4,0.146955,0.264511,0.325000,-0.020852,3,5.937000,5.162274,18.18,13.64,4.54,83.0,15.0,15.0,0.146955,0.146955,0.264511,0.264511,0.325000,0.325000,5.400000,5.400000,5.937000,5.937000,5.162274,5.162274,18.18,18.18,13.64,13.64,4.54,4.54,42.17,40.96,18.07,18.07,13.25,13.25,31.33,31.33,0.297000,0.297000,0.270000,0.270000,0.600000,0.600000,0.000000,0.000000,3.137000,3.137000,3.137000,3.137000,0.00,0.00,0.00,0.00,0.00,0.00,40.00,30.00,10.00,10.00,10.00,10.00,20.00,20.00
3,CIN,CIN,ATL,Max Fried,L,84,26,23,17,8,0,1,5,0.268192,0.330652,0.330769,0.016518,3,2.431118,3.581501,19.23,3.85,15.38,84.0,17.0,17.0,0.268192,0.268192,0.330652,0.330652,0.330769,0.330769,4.764706,4.764706,2.431118,2.431118,3.581501,3.581501,19.23,19.23,3.85,3.85,15.38,15.38,33.33,44.05,16.67,16.67,11.90,11.90,28.57,28.57,0.059387,0.059387,0.258594,0.258594,0.245161,0.245161,4.909091,4.909091,6.546091,6.546091,6.195655,6.195655,19.35,19.35,22.58,22.58,-3.23,-3.23,48.12,39.10,16.54,16.54,9.02,9.02,25.56,25.56
4,CLE,CLE,KC,Zack Greinke,R,84,22,20,17,5,0,1,1,0.334136,0.398761,0.252273,-0.038159,1,3.313471,4.003700,4.55,4.55,0.00,84.0,17.0,17.0,0.334136,0.334136,0.398761,0.398761,0.252273,0.252273,1.588235,1.588235,3.313471,3.313471,4.003700,4.003700,4.55,4.55,4.55,4.55,0.00,0.00,33.33,42.86,22.62,22.62,5.95,5.95,28.57,28.57,0.220125,0.220125,0.298843,0.298843,0.468750,0.468750,0.000000,0.000000,3.737000,3.737000,3.737000,3.737000,12.50,12.50,12.50,12.50,0.00,0.00,39.02,46.34,12.20,12.20,12.20,12.20,24.39,24.39
5,HOU,HOU,LAA,Shohei Ohtani,R,80,19,17,14,4,0,1,9,0.185895,0.248987,0.263158,-0.007306,1,-0.077286,0.202093,47.37,5.26,42.11,80.0,14.0,14.0,0.185895,0.185895,0.248987,0.248987,0.263158,0.263158,1.928571,1.928571,-0.077286,-0.077286,0.202093,0.202093,47.37,47.37,5.26,5.26,42.11,42.11,36.25,52.50,23.75,23.75,17.50,17.50,41.25,41.25,0.152179,0.152179,0.287766,0.287766,0.325000,0.325000,7.105263,7.105263,5.189632,5.189632,4.989722,4.989722,21.43,21.43,10.71,10.71,10.72,10.72,42.73,41.82,20.91,20.91,11.82,11.82,32.73,32.73
6,KC,CLE,KC,Shane Bieber,R,71,18,18,14,2,0,0,4,0.182889,0.261556,0.219444,-0.017351,1,1.422714,3.098987,22.22,0.00,22.22,71.0,14.0,14.0,0.182889,0.182889,0.261556,0.261556,0.219444,0.219444,1.928571,1.928571,1.422714,1.422714,3.098987,3.098987,22.22,22.22,0.00,0.00,22.22,22.22,33.80,46.48,18.31,18.31,14.08,14.08,32.39,32.39,0.268192,0.268192,0.330652,0.330652,0.330769,0.330769,4.764706,4.764706,2.431118,2.431118,3.581501,3.581501,19.23,19.23,3.85,3.85,15.38,15.38,33.33,44.05,16.67,16.67,11.90,11.90,28.57,28.57
7,LAA,HOU,LAA,Framber Valdez,L,84,22,20,20,2,0,1,6,0.117091,0.145761,0.154545,-0.051113,0,1.787000,1.787000,27.27,4.55,22.72,84.0,20.0,20.0,0.117091,0.117091,0.145761,0.145761,0.154545,0.154545,0.000000,0.000000,1.787000,1.787000,1.787000,1.787000,27.27,27.27,4.55,4.55,22.72,22.72,35.71,46.43,20.24,20.24,13.10,13.10,33.33,33.33,0.063333,0.063333,0.082333,0.082333,0.241667,0.241667,8.100000,8.100000,2.237000,2.237000,-0.880740,-0.880740,66.67,66.67,0.00,0.00,66.67,66.67,34.48,58.62,12.07,12.07,24.14,24.14,36.21,36.21
8,MIL,MIL,CHC,Kyle Hendricks,R,83,24,20,16,5,0,3,7,0.201625,0.322977,0.318750,-0.043393,1,2.762000,3.006456,29.17,12.50,16.67,83.0,16.0,16.0,0.201625,0.201625,0.322977,0.322977,0.318750,0.318750,1.687500,1.687500,2.762000,2.762000,3.006456,3.006456,29.17,29.17,12.50,12.50,16.67,16.67,38.55,45.78,16.87,16.87,20.48,20.48,37.35,37.35,0.021800,0.021800,0.295298,0.295298,0.280000,0.280000,0.000000,0.000000,7.137000,7.137000,7.137000,7.137000,20.00,20.00,40.00,40.00,-20.00,-20.00,51.85,40.74,22.22,22.22,11.11,11.11,33.33,33.33
9,NYM,NYM,WSH,Patrick Corbin,L,76,18,15,10,5,0,2,4,0.213722,0.324261,0.386111,0.029478,1,3.437000,3.828130,22.22,11.11,11.11,76.0,10.0,10.0,0.213722,0.213722,0.324261,0.324261,0.386111,0.386111,2.700000,2.700000,3.437000,3.437000,3.828130,3.828130,22.22,22.22,11.11,11.11,11.11,11.11,42.11,42.11,19.74,19.74,7.89,7.89,27.63,27.63,0.276125,0.276125,0.338921,0.338921,0.251563,0.251563,1.125000,1.125000,2.887000,2.887000,3.701855,3.701855,12.50,12.50,6.25,6.25,6.25,6.25,32.80,46.40,20.00,20.00,7.20,7.20,27.20,27.20
10,PIT,PIT,STL,Adam Wainwright,R,81,21,20,18,5,0,0,5,0.242571,0.256524,0.214286,-0.051874,0,1.470333,2.122217,23.81,0.00,23.81,81.0,18.0,18.0,0.242571,0.242571,0.256524,0.256524,0.214286,0.214286,0.000000,0.000000,1.470333,1.470333,2.122217,2.122217,23.81,23.81,0.00,0.00,23.81,23.81,34.57,46.91,27.16,27.16,4.94,4.94,32.10,32.10,0.151500,0.151500,0.187500,0.187500,0.000000,0.000000,0.000000,0.000000,1.637000,1.637000,2.614826,2.614826,25.00,25.00,0.00,0.00,25.00,25.00,44.44,38.89,16.67,16.67,16.67,16.67,33.33,33.33
11,SD,SD,AZ,Madison Bumgarner,L,68,14,10,9,1,0,4,2,0.100214,0.302998,0.289286,-0.033871,1,5.803667,7.976612,14.29,28.57,-14.28,68.0,9.0,9.0,0.100214,0.100214,0.302998,0.302998,0.289286,0.289286,3.000000,3.000000,5.803667,5.803667,7.976612,7.976612,14.29,14.29,28.57,28.57,-14.28,-14.28,45.59,42.65,13.24,13.24,5.88,5.88,19.12,19.12,0.213939,0.213939,0.320742,0.320742,0.369697,0.369697,3.521739,3.521739,4.963087,4.963087,2.592122,2.592122,27.27,27.27,6.06,6.06,21.21,21.21,36.07,45.90,18.85,18.85,13.11,13.11,31.97,31.97
12,STL,PIT,STL,JT Brubaker,R,68,17,13,9,4,1,3,2,0.186941,0.366072,0.473529,0.038130,4,9.137000,7.411201,11.76,17.65,-5.89,68.0,9.0,9.0,0.186941,0.186941,0.366072,0.366072,0.473529,0.473529,12.000000,12.000000,9.137000,9.137000,7.411201,7.411201,11.76,11.76,17.65,17.65,-5.89,-5.89,42.65,39.71,14.71,14.71,13.24,13.24,27.94,27.94,0.152594,0.152594,0.234047,0.234047,0.240625,0.240625,3.375000,3.375000,2.387000,2.387000,3.853738,3.853738,18.75,18.75,6.25,6.25,12.50,12.50,40.16,40.98,14.75,14.75,10.66,10.66,25.41,25.41
13,WSH,NYM,WSH,Tylor Megill,R,68,18,16,15,3,0,0,6,0.187722,0.210167,0.230556,-0.023847,0,0.737000,1.519260,33.33,0.00,33.33,68.0,15.0,15.0,0.187722,0.187722,0.210167,0.210167,0.230556,0.230556,0.000000,0.000000,0.737000,0.737000,1.519260,1.519260,33.33,33.33,0.00,0.00,33.33,33.33,30.88,50.00,19.12,19.12,14.71,14.71,33.82,33.82,0.117091,0.117091,0.145761,0.145761,0.154545,0.154545,0.000000,0.000000,1.787000,1.787000,1.787000,1.787000,27.27,27.27,4.55,4.55,22.72,22.72,35.71,46.43,20.24,20.24,13.10,13.10,33.33,33.33
14,ATL,CIN,ATL,Reiver Sanmartin,L,58,15,9,7,4,0,5,2,0.178667,0.438581,0.496667,0.033787,3,7.851286,8.968801,13.33,33.33,-20.00,58.0,7.0,7.0,0.178667,0.178667,0.438581,0.438581,0.496667,0.496667,11.571429,11.571429,7.851286,7.851286,8.968801,8.968801,13.33,13.33,33.33,33.33,-20.00,-20.00,46.55,39.66,13.79,13.79,15.52,15.52,29.31,29.31,0.359333,0.359333,0.526690,0.526690,0.355556,0.355556,3.857143,3.857143,3.565571,3.565571,5.800601,5.800601,11.11,11.11,0.00,0.00,11.11,11.11,33.33,40.74,7.41,7.41,14.81,14.81,22.22,22.22
15,AZ,SD,AZ,Sean Manaea,L,87,22,20,21,0,0,1,7,0.129682,0.169170,0.031818,-0.044012,0,1.565571,2.124329,31.82,4.55,27.27,87.0,21.0,21.0,0.129682,0.129682,0.169170,0.169170,0.031818,0.031818,0.000000,0.000000,1.565571,1.565571,2.124329,2.124329,31.82,31.82,4.55,4.55,27.27,27.27,25.29,58.62,19.54,19.54,10.34,10.34,29.89,29.89,0.276500,0.276500,0.436936,0.436936,0.487500,0.487500,0.000000,0.000000,6.137000,6.137000,6.137000,6.137000,0.00,0.00,25.00,25.00,-25.00,-25.00,42.86,42.86,9.52,9.52,14.29,14.29,23.81,23.81
16,BAL,BAL,TB,Shane McClanahan,L,68,19,15,13,4,0,2,7,0.167737,0.293090,0.318421,-0.011158,0,1.983154,2.584893,36.84,10.53,26.31,68.0,13.0,13.0,0.167737,0.167737,0.293090,0.293090,0.318421,0.318421,0.000000,0.000000,1.983154,1.983154,2.584893,2.584893,36.84,36.84,10.53,10.53,26.31,26.31,35.29,51.47,17.65,17.65,19.12,19.12,36.76,36.76,0.221389,0.221389,0.305790,0.305790,0.331944,0.331944,4.500000,4.500000,2.387000,2.387000,3.201855,3.201855,25.00,25.00,8.33,8.33,16.67,16.67,36.36,46.21,18.94,18.94,15.15,15.15,34.09,34.09
17,BOS,BOS,NYY,Gerrit Cole,R,68,17,15,12,4,1,1,3,0.203235,0.331115,0.379412,0.004304,3,6.387000,4.440767,17.65,5.88,11.77,68.0,12.0,12.0,0.203235,0.203235,0.331115,0.331115,0.379412,0.379412,6.750000,6.750000,6.387000,6.387000,4.440767,4.440767,17.65,17.65,5.88,5.88,11.77,11.77,38.24,44.12,11.76,11.76,16.18,16.18,27.94,27.94,0.213722,0.213722,0.324261,0.324261,0.386111,0.386111,2.700000,2.700000,3.437000,3.437000,3.828130,3.828130,22.22,22.22,11.11,11.11,11.11,11.11,42.11,42.11,19.74,19.74,7.89,7.89,27.63,27.63
18,CIN,CIN,ATL,Charlie Morton,R,78,19,17,16,2,0,1,5,0.130263,0.175408,0.150000,-0.030298,1,1.824500,3.046782,26.32,5.26,21.06,78.0,16.0,16.0,0.130263,0.130263,0.175408,0.175408,0.150000,0.150000,1.687500,1.687500,1.824500,1.824500,3.046782,3.046782,26.32,26.32,5.26,5.26,21.06,21.06,34.62,48.72,20.51,20.51,8.97,8.97,29.49,29.49,0.231042,0.231042,0.366580,0.366580,0.393750,0.393750,7.200000,7.200000,3.537000,3.537000,4.058507,4.058507,20.83,20.83,8.33,8.33,12.50,12.50,34.41,49.46,13.98,13.98,13.98,13.98,27.96,27.96
19,COL,LAD,COL,Walker Buehler,R,78,22,20,15,4,0,2,5,0.210091,0.301749,0.300000,-0.023523,2,2.337000,2.597753,22.73,9.09,13.64,78.0,15.0,15.0,0.210091,0.210091,0.301749,0.301749,0.300000,0.300000,3.600000,3.600000,2.337000,2.337000,2.597753,2.597753,22.73,22.73,9.09,9.09,13.64,13.64,32.05,48.72,16.67,16.67,8.97,8.97,25.64,25.64,0.001200,0.001200,0.277698,0.277698,0.280000,0.280000,0.000000,0.000000,5.137000,5.137000,6.440767,6.440767,40.00,40.00,40.00,40.00,0.00,0.00,50.00,45.45,22.73,22.73,9.09,9.09,31.82,31.82
20,CWS,CWS,DET,Eduardo Rodriguez,L,83,18,16,12,4,0,2,2,0.227167,0.371027,0.316667,0.002875,3,3.637000,5.918593,11.11,11.11,0.00,83.0,12.0,12.0,0.227167,0.227167,0.371027,0.371027,0.316667,0.316667,6.750000,6.750000,3.637000,3.637000,5.918593,5.918593,11.11,11.11,11.11,11.11,0.00,0.00,37.35,45.78,13.25,13.25,6.02,6.02,19.28,19.28,0.239444,0.239444,0.247593,0.247593,0.200000,0.200000,0.000000,0.000000,1.637000,1.637000,2.288884,2.288884,22.22,22.22,0.00,0.00,22.22,22.22,32.32,47.47,24.24,24.24,8.08,8.08,32.32,32.32
21,DET,CWS,DET,Lucas Giolito,R,61,15,13,12,1,0,2,6,0.157733,0.311299,0.176667,-0.041504,0,1.637000,2.940767,40.00,13.33,26.67,61.0,12.0,12.0,0.157733,0.157733,0.311299,0.311299,0.176667,0.176667,0.000000,0.000000,1.637000,1.637000,2.940767,2.940767,40.00,40.00,13.33,13.33,26.67,26.67,40.98,47.54,19.67,19.67,19.67,19.67,39.34,39.34,0.110273,0.110273,0.291805,0.291805,0.215909,0.215909,1.687500,1.687500,4.449500,4.449500,6.160695,6.160695,18.18,18.18,22.73,22.73,-4.55,-4.55,41.18,46.08,20.59,20.59,3.92,3.92,24.51,24.51
22,HOU,HOU,LAA,Reid Detmers,L,75,16,14,12,3,2,2,3,0.235000,0.433968,0.393750,0.011154,2,9.637000,5.092651,18.75,12.50,6.25,75.0,12.0,12.0,0.235000,0.235000,0.433968,0.433968,0.393750,0.393750,4.500000,4.500000,9.637000,9.637000,5.092651,5.092651,18.75,18.75,12.50,12.50,6.25,6.25,38.67,46.67,21.33,21.33,6.67,6.67,28.00,28.00,0.257786,0.257786,0.350463,0.350463,0.292857,0.292857,2.454545,2.454545,4.227909,4.227909,4.227909,4.227909,7.14,7.14,14.29,14.29,-7.15,-7.15,33.87,48.39,19.35,19.35,9.68,9.68,29.03,29.03
23,LAA,HOU,LAA,Jake Odorizzi,R,66,18,17,12,6,0,0,2,0.322222,0.312778,0.369444,0.032084,2,2.137000,3.114826,11.11,0.00,11.11,66.0,12.0,12.0,0.322222,0.322222,0.312778,0.312778,0.369444,0.369444,4.500000,4.500000,2.137000,2.137000,3.114826,3.114826,11.11,11.11,0.00,0.00,11.11,11.11,33.33,42.42,15.15,15.15,6.06,6.06,21.21,21.21,0.473429,0.473429,0.736459,0.736459,0.800000,0.800000,36.000000,36.000000,32.137000,32.137000,8.744535,8.744535,0.00,0.00,0.00,0.00,0.00,0.00,35.29,29.41,17.65,17.65,11.76,11.76,29.41,29.41
24,LAD,LAD,COL,Kyle Freeland,L,74,20,17,12,5,0,2,6,0.172550,0.295985,0.400000,0.002504,3,2.387000,2.712942,30.00,10.00,20.00,74.0,12.0,12.0,0.172550,0.172550,0.295985,0.295985,0.400000,0.400000,6.750000,6.750000,2.387000,2.387000,2.712942,2.712942,30.00,30.00,10.00,10.00,20.00,20.00,40.54,44.59,16.22,16.22,12.16,12.16,28.38,28.38,0.159800,0.159800,0.327835,0.327835,0.371429,0.371429,6.136364,6.136364,6.409727,6.409727,5.881505,5.881505,14.29,14.29,20.00,20.00,-5.71,-5.71,45.03,40.40,15.23,15.23,10.60,10.60,25.83,25.83
25,MIA,MIA,SF,Logan Webb,R,85,24,21,18,5,0,1,3,0.219792,0.262573,0.254167,-0.052814,0,2.637000,3.506178,12.50,4.17,8.33,85.0,18.0,18.0,0.219792,0.219792,0.262573,0.262573,0.254167,0.254167,0.000000,0.000000,2.637000,2.637000,3.506178,3.506178,12.50,12.50,4.17,4.17,8.33,8.33,32.94,43.53,16.47,16.47,14.12,14.12,30.59,30.59,0.200714,0.200714,0.280614,0.280614,0.267143,0.267143,1.000000,1.000000,3.025889,3.025889,2.595486,2.595486,28.570,28.570,5.710,5.710,22.860,22.860,32.840,49.250,18.660,18.660,11.940,11.940,30.600,30.600
26,MIN,SEA,MIN,Robbie Ray,L,96,27,21,21,3,1,4,5,0.129963,0.279933,0.270370,-0.026855,1,5.708429,4.782548,18.52,14.81,3.71,96.0,21.0,21.0,0.129963,0.129963,0.279933,0.279933,0.270370,0.270370,1.285714,1.285714,5.708429,5.708429,4.782548,4.782548,18.52,18.52,14.81,14.81,3.71,3.71,34.38,47.92,13.54,13.54,17.71,17.71,31.25,31.25,0.186500,0.186500,0.315124,0.315124,0.248333,0.248333,5.785714,5.785714,3.494143,3.494143,4.052900,4.052900,40.000,40.000,16.665,16.665,23.335,23.335,33.275,56.495,13.560,13.560,27.760,27.760,41.320,41.320
27,NYM,NYM,WSH,Josiah Gray,R,80,20,18,10,8,1,2,5,0.254200,0.357674,0.555000,0.047003,4,5.837000,2.328130,25.00,10.00,15.00,80.0,10.0,10.0,0.254200,0.254200,0.357674,0.357674,0.555000,0.555000,10.800000,10.800000,5.837000,5.837000,2.328130,2.328130,25.00,25.00,10.00,10.00,15.00,15.00,41.25,42.50,13.75,13.75,13.75,13.75,27.50,27.50,0.206915,0.206915,0.347140,0.347140,0.254451,0.254451,4.863971,4.863971,2.982588,2.982588,3.071222,3.071222,29.165,29.165,11.740,11.740,17.425,17.425,38.965,45.855,16.170,16.170,15.470,15.470,31.640,31.640
28,NYY,BOS,NYY,Nathan Eovaldi,R,76,23,20,16,5,2,1,7,0.217652,0.323911,0.391304,0.055942,3,6.512000,2.125913,30.43,4.35,26.08,76.0,16.0,16.0,0.217652,0.217652,0.323911,0.323911,0.391304,0.391304,5.062500,5.062500,6.512000,6.512000,2.125913,2.125913,30.43,30.43,4.35,4.35,26.08,26.08,26.32,55.26,15.79,15.79,22.37,22.37,38.16,38.16,0.234966,0.234966,0.235461,0.235461,0.343103,0.343103,0.000000,0.000000,2.387000,2.387000,2.612652,2.612652,13.795,13.795,1.725,1.725,12.070,12.070,32.945,43.125,13.930,13.930,10.805,10.805,24.730,24.730
29,OAK,OAK,PHI,Aaron Nola,R,76,23,21,18,4,2,0,7,0.157696,0.230922,0.297826,0.018533,4,5.637000,2.172845,30.43,0.00,30.43,76.0,18.0,18.0,0.157696,0.157696,0.230922,0.230922,0.297826,0.297826,6.000000,6.000000,5.637000,5.637000,2.172845,2.172845,30.43,30.43,0.00,0.00,30.43,30.43,25.00,55.26,23.68,23.68,13.16,13.16,36.84,36.84,0.035194,0.035194,0.137797,0.137797,0.122581,0.122581,2.454545,2.454545,4.841545,4.841545,6.621979,6.621979,9.675,9.675,11.290,11.290,-1.615,-1.615,24.060,19.550,8.270,8.270,4.510,4.510,12.780,12.780
30,PHI,OAK,PHI,Frankie Montas,R,92,22,20,15,6,1,1,6,0.267591,0.343988,0.343182,0.065557,5,3.937000,2.119260,27.27,4.55,22.72,92.0,15.0,15.0,0.267591,0.267591,0.343988,0.343988,0.343182,0.343182,9.000000,9.000000,3.937000,3.937000,2.119260,2.119260,27.27,27.27,4.55,4.55,22.72,22.72,30.43,53.26,16.30,16.30,17.39,17.39,33.70,33.70,0.138565,0.138565,0.242117,0.242117,0.263043,0.263043,0.000000,0.000000,0.842882,0.842882,1.303036,1.303036,47.830,47.830,8.700,8.700,39.130,39.130,35.560,54.440,15.560,15.560,22.220,22.220,37.780,37.780
31,SD,SD,AZ,Merrill Kelly,R,75,18,13,12,4,0,2,7,0.135500,0.214472,0.277778,-0.055171,0,1.137000,1.788884,38.89,11.11,27.78,75.0,12.0,12.0,0.135500,0.135500,0.214472,0.214472,0.277778,0.277778,0.000000,0.000000,1.137000,1.137000,1.788884,1.788884,38.89,38.89,11.11,11.11,27.78,27.78,32.00,57.33,20.00,20.00,16.00,16.00,36.00,36.00,0.165786,0.165786,0.272839,0.272839,0.346429,0.346429,2.700000,2.700000,6.137000,6.137000,3.801521,3.801521,21.430,21.430,7.140,7.140,14.290,14.290,36.210,46.550,8.620,8.620,18.970,18.970,27.590,27.590
32,SEA,SEA,MIN,Joe Ryan,R,70,19,13,12,2,1,4,4,0.164105,0.404905,0.336842,-0.011171,2,8.137000,5.864826,21.05,21.05,0.00,70.0,12.0,12.0,0.164105,0.164105,0.404905,0.404905,0.336842,0.336842,4.500000,4.500000,8.137000,8.137000,5.864826,5.864826,21.05,21.05,21.05,21.05,0.00,0.00,40.00,45.71,14.29,14.29,11.43,11.43,25.71,25.71,0.003400,0.003400,0.003800,0.003800,0.000000,0.000000,0.000000,0.000000,-0.463000,-0.463000,0.319260,0.319260,60.000,60.000,0.000,0.000,60.000,60.000,29.410,58.820,17.650,17.650,29.410,29.410,47.060,47.060
33,SF,MIA,SF,Sandy Alcantara,R,83,22,16,13,3,1,5,4,0.116364,0.319487,0.331818,-0.001995,3,7.752385,5.955862,18.18,22.73,-4.55,83.0,13.0,13.0,0.116364,0.116364,0.319487,0.319487,0.331818,0.331818,6.230769,6.230769,7.752385,7.752385,5.955862,5.955862,18.18,18.18,22.73,22.73,-4.55,-4.55,46.99,37.35,18.07,18.07,4.82,4.82,22.89,22.89,0.206189,0.206189,0.279397,0.279397,0.324324,0.324324,4.821429,4.821429,3.779857,3.779857,3.085447,3.085447,21.620,21.620,5.410,5.410,16.210,16.210,36.430,45.000,11.430,11.430,18.570,18.570,30.000,30.000
34,TB,BAL,TB,John Means,L,84,19,16,12,6,0,1,5,0.276632,0.307565,0.321053,-0.028025,1,1.387000,2.364826,26.32,5.26,21.06,84.0,12.0,12.0,0.276632,0.276632,0.307565,0.307565,0.321053,0.321053,2.250000,2.250000,1.387000,1.387000,2.364826,2.364826,26.32,26.32,5.26,5.26,21.06,21.06,33.33,51.19,9.52,9.52,13.10,13.10,22.62,22.62,0.243914,0.243914,0.370506,0.370506,0.269930,0.269930,5.757353,5.757353,3.534059,3.534059,4.842619,4.842619,14.160,14.160,6.470,6.470,7.690,7.690,36.975,39.215,16.145,16.145,10.640,10.640,26.785,26.785
36,TOR,TEX,TOR,Jon Gray,R,70,16,12,12,3,0,2,4,0.206250,0.283031,0.256250,0.030458,3,2.637000,2.962942,25.00,12.50,12.50,70.0,12.0,12.0,0.206250,0.206250,0.283031,0.283031,0.256250,0.256250,6.750000,6.750000,2.637000,2.637000,2.962942,2.962942,25.00,25.00,12.50,12.50,12.50,12.50,38.57,47.14,14.29,14.29,12.86,12.86,27.14,27.14,0.199158,0.199158,0.281217,0.281217,0.281579,0.281579,3.000000,3.000000,1.470333,1.470333,1.904922,1.904922,31.580,31.580,7.890,7.890,23.690,23.690,32.850,50.360,18.250,18.250,13.140,13.140,31.390,31.390
37,WSH,NYM,WSH,Max Scherzer,R,80,22,19,18,3,1,1,6,0.290773,0.439589,0.236364,0.015270,3,4.303667,3.006178,27.27,4.55,22.72,80.0,18.0,18.0,0.290773,0.290773,0.439589,0.439589,0.236364,0.236364,4.500000,4.500000,4.303667,4.303667,3.006178,3.006178,27.27,27.27,4.55,4.55,22.72,22.72,33.75,48.75,20.00,20.00,8.75,8.75,28.75,28.75,0.259136,0.259136,0.453965,0.453965,0.381818,0.381818,7.200000,7.200000,6.737000,6.737000,6.223028,6.223028,9.090,9.090,13.640,13.640,-4.550,-4.550,37.760,44.900,12.240,12.240,6.120,6.120,18.370,18.370
38,ATL,CIN,ATL,Vladimir Gutierrez,R,76,21,17,12,6,0,2,4,0.132714,0.232129,0.407143,0.047399,2,3.387000,5.342651,19.05,9.52,9.53,76.0,12.0,12.0,0.132714,0.132714,0.232129,0.232129,0.407143,0.407143,4.500000,4.500000,3.387000,3.387000,5.342651,5.342651,19.05,19.05,9.52,9.52,9.53,9.53,40.79,40.79,18.42,18.42,9.21,9.21,27.63,27.63,0.335267,0.335267,0.390467,0.390467,0.203333,0.203333,0.000000,0.000000,2.637000,2.637000,3.940767,3.940767,6.670,6.670,0.000,0.000,6.670,6.670,35.000,41.670,10.000,10.000,11.670,11.670,21.670,21.670
39,AZ,SD,AZ,Joe Musgrove,R,74,22,22,18,5,1,0,8,0.182182,0.204909,0.286364,-0.020802,2,2.637000,0.904922,36.36,0.00,36.36,74.0,18.0,18.0,0.182182,0.182182,0.204909,0.204909,0.286364,0.286364,3.000000,3.000000,2.637000,2.637000,0.904922,0.904922,36.36,36.36,0.00,0.00,36.36,36.36,28.38,52.70,24.32,24.32,14.86,14.86,39.19,39.19,0.250625,0.250625,0.318593,0.318593,0.312500,0.312500,0.000000,0.000000,2.537000,2.537000,4.883781,4.883781,25.000,25.000,12.500,12.500,12.500,12.500,45.450,39.390,15.150,15.150,12.120,12.120,27.270,27.270
40,BAL,BAL,TB,Drew Rasmussen,R,64,17,15,12,3,1,1,3,0.234588,0.358350,0.305882,0.065902,2,6.387000,4.114826,17.65,5.88,11.77,64.0,12.0,12.0,0.234588,0.234588,0.358350,0.358350,0.305882,0.305882,4.500000,4.500000,6.387000,6.387000,4.114826,4.114826,17.65,17.65,5.88,5.88,11.77,11.77,35.94,45.31,23.44,23.44,9.38,9.38,32.81,32.81,0.193226,0.193226,0.378118,0.378118,0.356452,0.356452,6.428571,6.428571,4.565571,4.565571,3.825943,3.825943,29.030,29.030,9.680,9.680,19.350,19.350,40.320,45.970,18.550,18.550,16.130,16.130,34.680,34.680
41,BOS,BOS,NYY,Luis Severino,R,65,14,14,9,5,1,0,5,0.265571,0.345143,0.450000,0.034882,2,4.137000,0.672845,35.71,0.00,35.71,65.0,9.0,9.0,0.265571,0.265571,0.345143,0.345143,0.450000,0.450000,6.000000,6.000000,4.137000,4.137000,0.672845,0.672845,35.71,35.71,0.00,0.00,35.71,35.71,36.92,49.23,13.85,13.85,7.69,7.69,21.54,21.54,0.193250,0.193250,0.310734,0.310734,0.196875,0.196875,2.250000,2.250000,5.637000,5.637000,3.853738,3.853738,21.875,21.875,6.250,6.250,15.625,15.625,41.555,42.780,19.000,19.000,11.670,11.670,30.665,30.665
