"",BatterTeam,RoadTeam,HomeTeam,SP,p_throws,Pitches,AB,PA,Outs,Hits,HR,BB,K,xBA,xwOBA,wOBA,RunExp,RA,FIP,xFIP,K%,BB%,K-BB%,Pitches5,Outs5,Outs10,xBA5,xBA10,xwOBA5,xwOBA10,wOBA5,wOBA10,RA5,RA10,FIP5,FIP10,xFIP5,xFIP10,K%5,K%10,BB%5,BB%10,K-BB%5,K-BB%10,Ball%5,Strike%5,CS%5,CS%10,Whiff%5,Whiff%10,CSW%5,CSW%10,bxBA5,bxBA10,bxwOBA5,bxwOBA10,bwOBA5,bwOBA10,bRS5,bRS10,bFIP5,bFIP10,bxFIP5,bxFIP10,bK%5,bK%10,bBB%5,bBB%10,bK-BB%5,bK-BB%10,bBall%5,bStrike%5,bCS%5,bCS%10,bWhiff%5,bWhiff%10,bCSW%5,bCSW%10
5793,STL,STL,CHC,Jameson Taillon,R,56,13,12,7,5,2,1,5,0.248308,0.341769,0.569231,0.043095,2,11.279857,1.813272,38.46,7.69,30.77,53.8,9.200000,13.900000,0.223185,0.226504,0.286395,0.295595,0.348956,0.318615,6.164011,4.794733,4.725187,3.972154,2.615000,2.788828,32.380000,28.340000,6.794000,5.843000,25.586,22.497000,38.724,44.536000,13.358000,16.369000,14.658000,13.992000,28.016000,30.362000,0.139154,0.154076,0.240786,0.249364,0.264475,0.286590,3.500000,9.115000,3.073111,3.671722,3.101811,3.687014,33.500,31.227,11.096,10.633,22.404,20.594,27.760,50.596,14.556,16.660,19.394,15.398,33.950,32.058
5794,TB,TB,BAL,Grayson Rodriguez,R,101,25,21,16,7,2,2,4,0.250840,0.292760,0.432000,0.011660,2,7.637000,4.228738,16.00,8.00,8.00,76.8,11.600000,11.142857,0.222024,0.247035,0.264068,0.276200,0.429326,0.401730,5.576538,5.678689,7.062641,5.714970,2.900749,2.822012,30.496000,30.058571,9.172000,10.407143,21.324,19.651429,37.676,48.272000,17.982000,15.771429,10.594000,12.685714,28.574000,28.457143,0.162346,0.167624,0.227004,0.246922,0.370377,0.296974,12.624348,6.519866,1.465502,2.088482,1.647985,2.535535,30.544,28.675,6.902,8.581,23.642,20.094,27.452,47.584,12.826,13.414,20.202,17.734,33.024,31.148
5795,TEX,TEX,SEA,George Kirby,R,72,21,20,18,3,0,0,7,0.160857,0.158381,0.128571,-0.070383,0,0.803667,1.455550,33.33,0.00,33.33,70.8,16.800000,14.700000,0.227533,0.258406,0.230585,0.300388,0.195553,0.301518,1.012500,4.331494,2.482833,3.558402,2.672403,3.546241,19.288000,17.805000,0.770000,4.561000,18.518,13.244000,28.254,49.604000,16.978000,16.213000,11.710000,10.626000,28.688000,26.840000,0.251092,0.230442,0.327394,0.298869,0.339334,0.298281,5.932967,4.268269,4.363618,3.700309,4.854908,3.794179,10.688,17.663,7.000,5.766,3.688,11.897,37.506,39.914,16.886,17.796,6.868,9.594,23.754,27.391
5796,TOR,TOR,PHI,Aaron Nola,R,86,24,20,18,5,1,2,6,0.204875,0.244708,0.329167,0.025572,2,4.303667,2.571589,25.00,8.33,16.67,81.2,16.800000,16.000000,0.220619,0.217847,0.249350,0.248271,0.275643,0.285698,3.301353,4.574542,3.779356,3.482464,3.547791,2.868045,19.238000,23.395000,6.166000,4.333000,13.072,19.062000,33.752,46.316000,19.398000,19.940000,10.122000,11.814000,29.518000,31.752000,0.307904,0.271446,0.387441,0.345882,0.503077,0.352213,10.453125,6.372024,3.355750,3.131048,4.085861,3.664911,13.590,17.046,3.076,5.598,10.514,11.448,33.630,39.720,9.560,10.335,16.234,12.314,25.794,22.648
5797,WSH,WSH,SF,Logan Webb,R,74,21,20,14,6,0,1,4,0.266476,0.267429,0.290476,-0.010331,1,2.065571,2.344950,19.05,4.76,14.29,87.4,17.200000,16.200000,0.227868,0.227631,0.261768,0.265121,0.300056,0.290553,3.179565,3.775846,2.989292,3.007281,2.380408,2.010416,23.708000,27.859000,3.426000,3.168000,20.282,24.691000,31.300,48.868000,20.848000,21.213000,10.936000,11.831000,31.782000,33.041000,0.253625,0.249595,0.302191,0.289433,0.352939,0.321595,9.929221,6.424958,3.389781,3.151564,2.575612,2.519739,21.274,22.181,6.304,5.120,14.970,17.061,35.400,44.868,16.954,19.070,9.622,9.659,26.572,28.726
5798,ATL,BOS,ATL,Brayan Bello,R,96,21,19,16,5,1,1,4,0.233048,0.272905,0.300000,-0.001973,2,4.637000,2.932869,19.05,4.76,14.29,75.2,11.800000,13.200000,0.247154,0.231238,0.289750,0.289693,0.396490,0.378872,8.685000,6.301071,6.207000,4.575810,3.215907,3.183766,22.000000,21.810000,8.138000,8.853000,13.862,12.957000,38.698,44.508000,15.270000,15.472000,12.794000,13.019000,28.062000,28.491000,0.224144,0.213076,0.296805,0.302286,0.298036,0.275011,3.243850,1.837925,4.494754,3.681377,2.811674,3.107761,25.492,25.309,4.248,8.838,21.244,16.471,30.908,46.540,13.362,14.155,17.664,13.488,31.026,27.645
5799,AZ,MIA,AZ,Edward Cabrera,R,40,11,8,7,1,0,3,4,0.092727,0.090636,0.304545,-0.011400,1,3.565571,3.565571,36.36,27.27,9.09,77.0,11.800000,11.300000,0.181598,0.163029,0.214629,0.182668,0.370478,0.325700,4.980390,4.154318,5.415182,4.906881,2.991230,3.765213,33.520000,29.248000,16.854000,16.594000,16.666,12.654000,42.198,45.344000,16.518000,16.983000,15.148000,13.726000,31.668000,30.710000,0.228718,0.206510,0.330998,0.281728,0.279765,0.259072,3.604945,3.633723,3.000370,2.800530,3.134314,2.693969,27.334,29.095,5.452,4.636,21.882,24.459,32.982,49.584,16.124,14.878,12.058,17.364,28.184,32.244
5802,CHC,STL,CHC,Jordan Montgomery,L,80,22,19,13,7,2,3,2,0.269727,0.358409,0.529545,0.092443,6,10.290846,5.494324,9.09,13.64,-4.55,83.6,15.200000,15.300000,0.244873,0.245783,0.283484,0.290253,0.368538,0.337302,6.559955,5.677670,4.601838,4.334048,3.601575,3.360779,19.368000,20.302000,6.302000,5.967000,13.066,14.335000,36.592,42.996000,17.316000,17.353000,10.728000,10.384000,28.044000,27.735000,0.238980,0.221023,0.300416,0.286328,0.306648,0.305112,6.711429,5.520977,3.133190,3.230183,3.508193,3.547726,17.888,19.277,7.148,6.722,10.740,12.555,34.086,43.028,15.934,16.298,14.002,13.208,29.938,29.507
5803,CIN,NYM,CIN,Justin Verlander,R,66,17,14,13,2,0,2,4,0.137176,0.182471,0.208824,0.011346,1,2.675462,3.578070,23.53,11.76,11.77,82.2,16.000000,16.200000,0.185345,0.159966,0.234973,0.210626,0.232595,0.209582,2.284964,1.978197,2.593768,1.754833,2.643421,2.224574,30.860000,35.283000,5.376000,4.871000,25.484,30.412000,32.544,51.856000,16.586000,15.755000,11.934000,13.164000,28.520000,28.919000,0.169671,0.173354,0.339342,0.324214,0.365941,0.347589,13.500000,12.188571,7.487000,7.432000,5.930014,6.100735,21.058,25.091,18.000,17.739,3.058,7.352,36.862,48.284,10.690,13.517,11.944,14.288,22.636,27.807
5804,CLE,DET,CLE,Eduardo Rodriguez,L,78,21,19,18,2,0,1,7,0.156905,0.151143,0.119048,-0.057584,0,1.303667,1.955550,33.33,4.76,28.57,84.6,17.000000,17.600000,0.198460,0.191104,0.211954,0.235567,0.213598,0.258211,1.957500,2.047500,3.489795,3.959867,3.053624,3.280219,23.724000,22.105000,3.872000,5.870000,19.852,16.235000,33.624,48.770000,19.932000,18.197000,11.690000,11.506000,31.624000,29.703000,0.238006,0.224687,0.329338,0.309224,0.324706,0.318851,4.556077,4.523939,3.587429,3.871728,3.625669,3.389599,19.418,22.230,7.836,6.126,11.582,16.104,34.408,45.880,14.076,14.485,13.066,13.973,27.142,28.455
